latitude,longitude,employee_count,pickup_point,bus_number
39.97414685833333,32.612781766666664,12.0,18.0,51
39.97414685833333,32.612781766666664,12.0,18.0,51
39.97414685833333,32.612781766666664,12.0,18.0,51
39.99145855555555,32.80470271111111,9.0,19.0,51
39.99145855555555,32.80470271111111,9.0,19.0,51
39.99145855555555,32.80470271111111,9.0,19.0,51
39.99145855555555,32.80470271111111,9.0,19.0,51
39.99145855555555,32.80470271111111,9.0,19.0,26
39.99145855555555,32.80470271111111,9.0,19.0,26
39.99145855555555,32.80470271111111,9.0,19.0,26
39.99145855555555,32.80470271111111,9.0,19.0,26
39.99145855555555,32.80470271111111,9.0,19.0,26
39.99003565,32.65754715,2.0,20.0,26
39.99003565,32.65754715,2.0,20.0,26
39.92541573333334,32.8999169,3.0,21.0,26
39.92541573333334,32.8999169,3.0,21.0,26
39.92541573333334,32.8999169,3.0,21.0,26
39.946321485714286,32.66593152857143,7.0,22.0,26
39.946321485714286,32.66593152857143,7.0,22.0,26
39.946321485714286,32.66593152857143,7.0,22.0,26
39.946321485714286,32.66593152857143,7.0,22.0,26
39.946321485714286,32.66593152857143,7.0,22.0,26
39.946321485714286,32.66593152857143,7.0,22.0,26
39.946321485714286,32.66593152857143,7.0,22.0,26
39.97611845,32.865589,2.0,23.0,26
39.97611845,32.865589,2.0,23.0,26
39.98562605,32.6096929,4.0,24.0,26
39.98562605,32.6096929,4.0,24.0,26
39.98562605,32.6096929,4.0,24.0,26
39.98562605,32.6096929,4.0,24.0,26
39.99737087142857,32.5165989,7.0,25.0,26
39.99737087142857,32.5165989,7.0,25.0,26
39.99737087142857,32.5165989,7.0,25.0,26
39.99737087142857,32.5165989,7.0,25.0,26
39.99737087142857,32.5165989,7.0,25.0,26
39.99737087142857,32.5165989,7.0,25.0,26
39.99737087142857,32.5165989,7.0,25.0,26
39.97763834285714,32.60199955714286,7.0,26.0,26
39.97763834285714,32.60199955714286,7.0,26.0,26
39.97763834285714,32.60199955714286,7.0,26.0,26
39.97763834285714,32.60199955714286,7.0,26.0,26
39.97763834285714,32.60199955714286,7.0,26.0,26
39.97763834285714,32.60199955714286,7.0,26.0,26
39.97763834285714,32.60199955714286,7.0,26.0,26
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
40.00951700625,32.516332287500006,16.0,27.0,23
39.977599266666665,32.6279068,3.0,28.0,9
39.977599266666665,32.6279068,3.0,28.0,9
39.977599266666665,32.6279068,3.0,28.0,9
39.99204321999999,32.555383719999995,5.0,29.0,9
39.99204321999999,32.555383719999995,5.0,29.0,9
39.99204321999999,32.555383719999995,5.0,29.0,9
39.99204321999999,32.555383719999995,5.0,29.0,9
39.99204321999999,32.555383719999995,5.0,29.0,9
40.01625414,32.86590897999999,5.0,30.0,9
40.01625414,32.86590897999999,5.0,30.0,9
40.01625414,32.86590897999999,5.0,30.0,9
40.01625414,32.86590897999999,5.0,30.0,9
40.01625414,32.86590897999999,5.0,30.0,9
39.91625415,32.9377748,2.0,31.0,9
39.91625415,32.9377748,2.0,31.0,9
39.9035674,32.96798615,2.0,32.0,9
39.9035674,32.96798615,2.0,32.0,9
40.0059742,32.6458246,3.0,33.0,9
40.0059742,32.6458246,3.0,33.0,9
40.0059742,32.6458246,3.0,33.0,9
40.01629154444445,32.5354465,9.0,34.0,9
40.01629154444445,32.5354465,9.0,34.0,9
40.01629154444445,32.5354465,9.0,34.0,9
40.01629154444445,32.5354465,9.0,34.0,9
40.01629154444445,32.5354465,9.0,34.0,9
40.01629154444445,32.5354465,9.0,34.0,9
40.01629154444445,32.5354465,9.0,34.0,9
40.01629154444445,32.5354465,9.0,34.0,9
40.01629154444445,32.5354465,9.0,34.0,9
