latitude,longitude,bus_number
39.976736,32.562732,50
39.97796505,32.816129325,50
39.976736,32.562732,50
39.976736,32.562732,26
39.94919745,32.560102,26
39.88861500000001,32.618486866666665,26
39.890877,32.819762,26
40.0005267,32.9024466,26
39.9206258,32.9135937,26
39.976736,32.562732,26
39.976736,32.562732,11
39.986385866666666,32.60742523333334,11
39.98143493333333,32.7081253,11
39.9750187,32.7121037,11
39.9718485,32.78737410000001,11
40.00882713333333,32.85411643333333,11
40.00322098,32.88499018,11
39.96962475,32.93905395,11
39.9505352,32.87942605,11
39.8451842,32.9212265,11
39.91602465,32.8565208,11
39.95155595,32.72432435,11
39.976736,32.562732,11
39.976736,32.562732,37
39.938024233333344,32.580746733333335,37
39.900561,32.6447001,37
39.7805245,32.7181375,37
39.90178825,32.854798849999995,37
39.91625415,32.9377748,37
39.9613084,32.93786634999999,37
40.0140001,32.8097661,37
40.037054366666666,32.767254400000006,37
39.9537675,32.7589733,37
39.9692508,32.809725,37
39.976736,32.562732,37
39.976736,32.562732,5
39.9798698,32.6239244,5
39.9300463,32.6023084,5
39.976736,32.562732,5
39.976736,32.562732,49
39.962468,32.6914019,49
39.9867988,32.7847733,49
39.997107766666666,32.8507308,49
39.95754495,32.793195600000004,49
39.91005733333333,32.869391799999995,49
39.9124056,33.0563914,49
39.889131,32.88623,49
39.8945662,32.7992532,49
39.976402,32.78000900000001,49
39.9790306,32.7211374,49
39.976736,32.562732,49
39.976736,32.562732,21
39.82813885,32.71525825,21
39.96996116666667,32.72975426666667,21
39.9928663,32.7096666,21
40.0136775,32.86302975,21
40.009903925,32.873510475,21
39.9743288,32.8520302,21
39.967378700000005,32.87189896666666,21
39.9120322,32.9114296,21
39.92711645,32.88721185,21
39.976736,32.562732,21
39.976736,32.562732,46
39.95745295,32.836019449999995,46
39.938947,32.8829176,46
39.999656075,32.840542675,46
39.976736,32.562732,46
39.976736,32.562732,31
40.01862623333333,32.5117187,31
40.0190344,32.3107517,31
39.9283587,32.5803981,31
39.966891366666665,32.658775133333336,31
39.9819781,32.6786008,31
39.99442519999999,32.7233261,31
40.01810283333333,32.85187236666667,31
39.98353725,32.85950915,31
39.9742659,32.9119703,31
39.8571568,32.7237843,31
39.9022497,32.7049775,31
39.9558759,32.72930905,31
39.9703578,32.7053834,31
39.976736,32.562732,31
39.976736,32.562732,9
39.95484570000001,32.5411368,9
39.9803596,32.6573743,9
39.9947425,32.8230541,9
39.976736,32.562732,9
39.976736,32.562732,0
40.01833,32.5499,0
40.0482492,32.8426355,0
40.0394137,32.8454274,0
40.0321634,32.8850429,0
39.97579505,32.88561125,0
39.9805101,32.8316829,0
39.9283075,32.5712101,0
39.8612552,32.541087,0
39.8055024,32.5655549,0
39.976736,32.562732,0
39.976736,32.562732,29
39.9995568,32.5570715,29
40.03098800000001,32.378292,29
39.8471994,32.5546271,29
39.9286299,32.644418466666664,29
39.9572589,32.6475256,29
39.88099034999999,32.74948965,29
39.8908614,32.83511643333333,29
39.90781295000001,32.98035815,29
39.9581957,32.9634852,29
40.010691,32.90283305,29
39.97611845,32.865589,29
39.99940463333333,32.82883796666667,29
40.0052411,32.8595814,29
39.976736,32.562732,29
39.976736,32.562732,33
40.0347414,32.564986,33
39.757964,32.653587,33
39.7521727,32.7674041,33
39.91775015,32.8206309,33
39.9235362,32.850263,33
40.03320679999999,32.850257,33
39.9462402,32.86206689999999,33
39.9198482,32.88284285,33
39.899684,32.9166357,33
39.9035674,32.96798615,33
39.9157116,32.9219309,33
39.976736,32.562732,33
39.976736,32.562732,41
39.967316,32.8593758,41
39.99322625,32.83940665,41
39.976736,32.562732,41
39.976736,32.562732,15
39.9819941,32.648696900000004,15
39.9907557,32.7953016,15
39.9862099,32.8023371,15
40.0244784,32.8563952,15
39.92713435,32.81390005,15
39.88522436666667,32.818320166666666,15
39.9025173,32.8057286,15
39.9651506,32.9138078,15
39.962029,32.81657,15
39.90660915,32.93167835,15
39.7887308,32.8295055,15
39.8965922,32.848243,15
39.976736,32.562732,15
39.976736,32.562732,7
39.88976325,32.68010635,7
39.8850339,32.6594463,7
39.731614,32.538925,7
39.8351161,32.6998107,7
39.8512298,32.6869315,7
39.8897009,32.7520139,7
39.88983820000001,32.780086,7
39.870567,32.816762,7
39.91856500000001,32.801918,7
39.9258475,32.8252262,7
39.9880919,32.8801831,7
39.8970259,32.87079500000001,7
39.88181609999999,32.8679062,7
39.976736,32.562732,7
39.976736,32.562732,36
40.0177946,32.3292369,36
40.0083059,32.5389911,36
39.9845954,32.6944347,36
40.0129334,32.740723,36
39.9549107,32.8487361,36
39.9780279,32.9253605,36
39.9724559,32.9608261,36
39.9060914,32.8750463,36
39.779293,32.505111,36
39.8131225,32.5773121,36
39.976736,32.562732,36
