pickup_point,latitude,longitude,employee_count
82,39.954560664285715,32.573368228571425,1
83,40.015347187500005,32.526600475,2
84,39.93131681666667,32.61996201666667,13
85,39.958654645454544,32.598737254545455,2
86,39.9875836,32.58185843333333,2
87,39.85176455,32.85829795,3
88,39.83785335,32.535399,8
89,39.99232462222222,32.563312055555556,2
90,39.9888858,32.65741979999999,3
91,39.99633815,32.582466475000004,2
92,39.8752019,32.7084065,6
93,39.9518037625,32.664960975,13
94,39.965704849999995,32.789302150000005,3
95,39.9795935,32.61296525,13
96,39.95495738571429,32.57889674285714,2
97,39.998517140000004,32.59689628,2
98,39.9633423,32.6136146,2
99,39.955371650000004,32.604184700000005,2
100,39.94557703333333,32.6318813,3
101,39.95126228181818,32.56508008181818,4
102,39.981377859999995,32.6414407,10
103,40.02273260769231,32.52247526153846,15
104,39.9702661,32.63615715,4
105,39.95968834642857,32.59115514285714,2
106,39.97481528,32.644160680000006,2
107,39.991254700000006,32.61772306666666,3
108,39.98874203333333,32.587483516666666,2
109,40.01877629285714,32.53202920714286,5
110,39.973761,32.604385,3
111,39.9512065375,32.6421758875,3
112,39.99918,32.8920229,3
113,39.99335296666666,32.556245,13
114,39.95924881818182,32.56618978636363,3
115,40.010542099999995,32.51274293333333,8
116,39.932046639999996,32.635776119999996,3
117,40.0175307,32.53893105,15
118,39.97901426666666,32.59219686666666,14
119,39.9727601,32.616999675,11
120,39.94897649090908,32.62799852727273,3
121,39.9447982,32.8912256,10
122,39.9933038,32.575261600000005,8
123,39.93494526,32.65695212,12
124,39.97050725,32.5568121,2
125,39.97028523,32.57056719,2
126,39.987458079999996,32.62709076,6
127,39.957323,32.8750852,7
128,39.9672597,32.6438754,12
129,39.99861412499999,32.602426162499995,2
130,39.95271181538462,32.6314313076923,6
131,39.9668566,32.65093055,5
132,39.99358804166666,32.59440371666667,5
133,40.008283383333335,32.84586936666667,3
134,39.943819033333334,32.603977566666664,4
135,40.003933175,32.5239648,9
136,39.94992338461539,32.63407273846154,3
137,39.9853024375,32.563615625,2
138,39.9878509,32.598078380000004,6
139,39.88024660000001,32.69736880000001,3
140,39.9104081,32.7637933,4
141,39.8346129,32.6051351,8
142,39.8570265,32.8314103,2
143,39.95023605555556,32.647820833333334,2
144,39.9747719,32.6921729,1
145,39.939395350000005,32.63830245,3
146,39.94077795,32.66345345,6
147,40.00938478333334,32.52515066666666,8
148,39.948555490000004,32.619455310000006,8
149,40.00620223333333,32.50787173333333,6
150,40.002028125,32.611548174999996,5
151,39.9708711,32.8962847,1
152,39.999400566666665,32.61795453333333,3
153,39.99517222,32.52337792,25
154,40.0096212,32.6230276,1
155,39.9962033,32.86268135,4
156,39.93310043333333,32.89302596666666,14
157,39.98504274,32.56922076,2
158,39.95956176666666,32.582004866666665,9
159,39.945895566666664,32.60990183333334,1
160,40.01256501666667,32.5167982,7
161,39.9635309,32.578004119999996,15
162,39.946477699999996,32.66649764,5
163,39.9418175,32.56960162,1
164,39.981198750000004,32.75571655,1
165,39.9753883,32.806539,1
166,39.94612580909091,32.636688945454544,1
167,39.9013082,32.6262258,1
168,39.9287212,32.8766602,1
169,39.924790550000004,32.89992175,11
170,39.9672677,32.7843182,1
171,39.99712415,32.8137688,1
172,39.9426598,32.5875379,2
173,39.9633488,32.6988147,2
174,39.9920081,32.73174,1
175,40.01088726666667,32.53006376666667,1
176,39.9931767,32.61144186666667,1
177,40.0029586,32.60019455,2
178,39.9122078,32.8988819,1
179,39.966097649999995,32.8031725,1
180,40.0103366,32.6616518,1
181,39.942297350000004,32.89847605,1
182,39.962490075,32.602767175,1
183,39.933426075,32.64070205,1
184,40.00693308,32.868536240000005,2
185,39.85932255,32.64264395,1
186,39.8778105,32.8211999,2
187,40.01861995,32.8649978,1
188,39.991231975000005,32.8868511,2
189,39.97796505,32.816129325,14
190,39.88861500000001,32.618486866666665,1
191,40.0005267,32.9024466,2
192,39.890877,32.819762,5
193,39.94919745,32.560102,10
194,39.920625799999996,32.9135937,1
195,39.8451842,32.9212265,1
196,39.950535200000004,32.87942605,1
197,40.00322098,32.88499018,1
198,39.9750187,32.7121037,1
199,39.98143493333333,32.7081253,1
200,40.008827133333334,32.85411643333333,4
201,39.969624749999994,32.93905395,2
202,39.986385866666666,32.60742523333334,2
203,39.91602465,32.8565208,2
204,39.9718485,32.78737410000001,1
205,39.95155595,32.72432435,1
206,39.901788249999996,32.854798849999995,2
207,39.7805245,32.7181375,3
208,40.0140001,32.8097661,2
209,40.037054366666666,32.767254400000006,5
210,39.900561,32.6447001,5
211,39.9537675,32.7589733,1
212,39.91625415,32.9377748,4
213,39.938024233333344,32.580746733333335,1
214,39.9613084,32.93786634999999,4
215,39.9692508,32.809725,1
216,39.9798698,32.6239244,7
217,39.910057333333334,32.869391799999995,1
218,39.9300463,32.6023084,11
219,39.8945662,32.7992532,1
220,39.962468,32.6914019,2
221,39.95754495,32.793195600000004,1
222,39.997107766666666,32.8507308,5
223,39.9867988,32.7847733,2
224,39.976402,32.78000900000001,2
225,39.9124056,33.0563914,1
226,39.889131,32.88623,1
227,39.9790306,32.7211374,2
228,40.009903925,32.873510475,3
229,39.9120322,32.9114296,6
230,39.9743288,32.8520302,1
231,39.9928663,32.7096666,3
232,39.938947,32.8829176,11
233,40.0136775,32.86302975,1
234,39.96996116666667,32.72975426666667,4
235,39.967378700000005,32.87189896666666,1
236,39.82813885,32.71525825,2
237,39.957452950000004,32.836019449999995,13
238,39.999656075000004,32.840542675,10
239,39.92711645,32.88721185,2
240,39.99442519999999,32.7233261,1
241,40.01810283333333,32.85187236666667,3
242,39.9022497,32.7049775,2
243,39.95484570000001,32.5411368,24
244,39.9803596,32.6573743,19
245,39.9283587,32.5803981,6
246,40.01862623333333,32.511718699999996,1
247,40.0190344,32.3107517,1
248,39.98353725,32.85950915,1
249,39.9558759,32.72930905,1
250,39.9819781,32.6786008,4
251,39.8571568,32.7237843,1
252,39.966891366666665,32.658775133333336,1
253,39.9742659,32.9119703,1
254,39.9703578,32.7053834,1
255,39.9283075,32.5712101,1
256,39.9947425,32.8230541,47
257,40.0321634,32.8850429,1
258,40.01833,32.5499,3
259,39.8612552,32.541087,3
260,40.0482492,32.8426355,2
261,40.0394137,32.8454274,1
262,39.97579505,32.88561125,11
263,39.9805101,32.8316829,4
264,39.8055024,32.5655549,1
265,39.9572589,32.6475256,1
266,39.9286299,32.644418466666664,2
267,39.88099034999999,32.74948965,1
268,39.9995568,32.5570715,2
269,40.010691,32.90283305,1
270,39.90781295000001,32.98035815,1
271,39.9581957,32.9634852,1
272,39.999404633333334,32.82883796666667,5
273,39.8908614,32.83511643333333,2
274,39.8471994,32.5546271,2
275,40.03098800000001,32.378292,1
276,39.97611845,32.865589,1
277,40.0052411,32.8595814,1
278,39.9235362,32.850263,1
279,39.91775015,32.8206309,1
280,39.967316,32.8593758,13
281,39.899684,32.9166357,1
282,39.99322625,32.83940665,8
283,39.757964,32.653587,1
284,39.7521727,32.7674041,3
285,39.9462402,32.86206689999999,1
286,40.0347414,32.564986,1
287,40.03320679999999,32.850257,1
288,39.9035674,32.96798615,2
289,39.919848200000004,32.88284285,1
290,39.9157116,32.9219309,1
291,39.962029,32.81657,2
292,39.90660915,32.93167835,4
293,40.0244784,32.8563952,3
294,39.9907557,32.7953016,1
295,39.9862099,32.8023371,1
296,39.9025173,32.8057286,5
297,39.88522436666667,32.818320166666666,4
298,39.7887308,32.8295055,3
299,39.9819941,32.648696900000004,1
300,39.9651506,32.9138078,1
301,39.92713435,32.81390005,3
302,39.8965922,32.848243,1
303,39.8351161,32.6998107,1
304,39.91856500000001,32.801918,1
305,39.9880919,32.8801831,1
306,39.8850339,32.6594463,1
307,39.9258475,32.8252262,1
308,39.731614,32.538925,7
309,39.88976325,32.68010635,1
310,39.88983820000001,32.780086,1
311,39.870567,32.816762,1
312,39.8970259,32.87079500000001,1
313,39.8512298,32.6869315,2
314,39.8897009,32.7520139,1
315,39.88181609999999,32.8679062,2
316,39.9845954,32.6944347,1
317,39.779293,32.505111,1
318,39.9060914,32.8750463,2
319,39.9549107,32.8487361,1
320,39.9724559,32.9608261,1
321,39.9780279,32.9253605,3
322,40.0083059,32.5389911,9
323,40.0177946,32.3292369,2
324,40.0129334,32.740723,2
325,39.8131225,32.5773121,1
