pickup_point,latitude,longitude,employee_count,bus_number
43.0,39.9706705,32.64135752,5.0,26
44.0,39.90660915,32.93167835,2.0,26
45.0,39.85932255,32.64264395,2.0,26
46.0,40.01442363333334,32.85887736666667,3.0,26
47.0,39.97190562222222,32.617052244444444,9.0,37
48.0,40.015470670000006,32.52631385000001,10.0,37
49.0,39.969354995833335,32.584929416666675,24.0,43
50.0,39.95857407222221,32.59498765555556,36.0,9
51.0,40.004603788888886,32.530611988888886,9.0,37
52.0,39.98143493333333,32.7081253,3.0,21
53.0,39.99177832,32.80479529,10.0,37
54.0,39.97611845,32.865589,2.0,21
55.0,39.95392757368421,32.61355102105264,19.0,29
56.0,39.9740534,32.853579266666664,3.0,21
57.0,39.97861145,32.893322975000004,4.0,21
58.0,39.92713435,32.81390005,2.0,21
59.0,39.98349334285714,32.57936535714286,14.0,29
60.0,40.0096198625,32.526204025,8.0,21
61.0,39.9935417,32.8827664,3.0,21
62.0,39.94487484375,32.654126174999995,16.0,4
63.0,39.99389486666667,32.86989726666666,3.0,21
64.0,39.95956176666666,32.582004866666665,18.0,4
65.0,39.951621325,32.5839528375,16.0,4
66.0,39.979730333333336,32.613371,6.0,22
67.0,39.98807416,32.5789595,5.0,22
68.0,39.95936572000001,32.589795073333335,15.0,4
69.0,40.0005273,32.615404125,4.0,22
70.0,39.97770886666667,32.599197216666674,6.0,22
71.0,39.9035674,32.96798615,2.0,22
72.0,40.00493036666666,32.86039903333333,3.0,22
73.0,39.94128713333333,32.61553481666667,6.0,22
74.0,40.00370818,32.87563014,5.0,22
75.0,39.93766613333333,32.59595456666667,3.0,32
76.0,39.9874707,32.627633575,4.0,32
77.0,39.945501416666666,32.63193411666666,6.0,32
78.0,39.9093811,32.8682118,2.0,32
79.0,39.95062209999999,32.5699486,7.0,32
80.0,39.9553882375,32.5787211,8.0,32
81.0,39.97099243749999,32.5714253125,16.0,18
82.0,39.98353725,32.85950915,2.0,32
83.0,39.8351161,32.6998107,1.0,32
84.0,39.95004905,32.8649994,2.0,32
85.0,39.98810035555555,32.572315966666665,9.0,32
86.0,40.00872716,32.84637868,5.0,7
87.0,39.9877516,32.6555383,2.0,7
88.0,39.966506638888895,32.599735149999994,18.0,18
89.0,39.93310043333333,32.89302596666666,3.0,7
90.0,39.9418175,32.56960162,5.0,7
91.0,39.9633488,32.6988147,2.0,7
92.0,40.00322098,32.88499018,5.0,7
93.0,39.88976325,32.68010635,2.0,7
94.0,39.9549107,32.8487361,1.0,7
95.0,39.942318150000006,32.898821575,4.0,7
96.0,39.9907043,32.61788305,4.0,7
97.0,39.95067156,32.64335495,10.0,33
98.0,39.94185078181818,32.64415264545455,11.0,33
99.0,39.99369677999999,32.59441156,10.0,33
100.0,39.96328739230769,32.57564196923077,13.0,33
101.0,39.97579505,32.88561125,2.0,40
102.0,39.90178825,32.854798849999995,2.0,40
103.0,39.91666505,32.85661545,4.0,40
104.0,39.94051986,32.6632926,5.0,40
105.0,39.88853593333334,32.61870366666667,3.0,40
106.0,39.98190975,32.8308081,2.0,40
107.0,39.9804743,32.79751745,2.0,40
108.0,39.95543834666667,32.58651461333333,15.0,23
109.0,39.978416575,32.644653925,8.0,23
110.0,39.94124383333334,32.58376453333333,3.0,40
111.0,39.93235344285714,32.6495986,7.0,23
112.0,39.9981344,32.892584150000005,2.0,2
113.0,39.970105625,32.72967045,4.0,2
114.0,39.9206258,32.9135937,2.0,2
115.0,39.9753883,32.806539,2.0,2
116.0,39.94675394285714,32.5958123,7.0,2
117.0,40.0083059,32.5389911,1.0,2
118.0,39.99673315,32.6518223,2.0,2
119.0,39.99809603333333,32.85058433333334,3.0,2
120.0,39.9962033,32.86268135,2.0,2
121.0,39.936264725,32.613588225,4.0,2
122.0,39.8640858,32.6499307,2.0,2
123.0,39.93391255714285,32.5936158,7.0,52
124.0,39.9286299,32.644418466666664,3.0,52
125.0,39.954915186956526,32.562619913043484,23.0,51
126.0,39.950300835,32.575040755,20.0,51
127.0,39.9931767,32.61144186666667,3.0,52
128.0,39.992496957142855,32.57463061428572,7.0,52
129.0,39.999404266666666,32.63128686666666,3.0,52
130.0,39.9525826095238,32.599357361904765,21.0,8
131.0,39.99204928333334,32.557900966666665,6.0,52
132.0,39.989556,32.86273343333334,3.0,52
133.0,39.94913933333333,32.62800160833334,12.0,28
134.0,39.95456066428572,32.573368228571425,14.0,28
135.0,39.95168705,32.6656809125,8.0,28
136.0,39.98896526666667,32.85494786666666,3.0,14
137.0,40.03477256666667,32.85061416666667,3.0,14
138.0,39.9623827,32.60299773333333,9.0,28
139.0,39.95712953333334,32.6022091,3.0,14
140.0,39.9988701,32.874591833333334,3.0,14
141.0,39.980594700000005,32.84557316666667,3.0,14
142.0,40.00071974,32.527682299999995,5.0,14
143.0,40.00334050000001,32.6097669,2.0,14
144.0,39.93842635,32.6207694,2.0,14
145.0,39.870567,32.816762,1.0,14
146.0,40.0187503,32.51167065,2.0,14
147.0,40.0025266,32.60053666666667,3.0,14
148.0,39.95745295,32.836019449999995,2.0,42
149.0,39.88983820000001,32.780086,1.0,42
150.0,39.87839900000001,32.681737,1.0,42
151.0,39.933389266666666,32.6408308,3.0,42
152.0,39.8965922,32.848243,1.0,42
153.0,39.991629083333336,32.585303849999995,6.0,42
154.0,39.95965651333333,32.57610587333333,15.0,48
155.0,40.010691,32.90283305,2.0,42
156.0,39.96468487692308,32.58968059230769,13.0,48
157.0,39.886608550000005,32.80070305,2.0,42
158.0,40.00693308,32.868536240000005,5.0,42
159.0,39.5591011,33.1162071,1.0,42
160.0,39.99712415,32.8137688,2.0,36
161.0,39.97715159999999,32.559527200000005,2.0,36
162.0,39.95271181538462,32.6314313076923,13.0,6
163.0,39.97503606666667,32.83201913333333,3.0,36
164.0,39.88055935,32.800464500000004,2.0,36
165.0,39.93128686666667,32.63547813333333,3.0,36
166.0,39.9695413,32.78575710000001,3.0,36
167.0,39.9124056,33.0563914,1.0,36
168.0,39.8471994,32.5546271,1.0,36
169.0,39.8571568,32.7237843,1.0,36
170.0,39.9537675,32.7589733,1.0,36
171.0,39.75705175,32.8088145,2.0,36
172.0,39.8976879,32.86852925000001,2.0,36
173.0,39.9013082,32.6262258,1.0,15
174.0,39.9603589,32.742676,1.0,15
175.0,39.36297,32.26464,1.0,15
176.0,39.96737866666667,32.871899033333335,3.0,15
177.0,39.945842588461545,32.566657034615375,26.0,19
178.0,39.974936,32.62993965,2.0,15
179.0,39.994041,32.99535,1.0,15
180.0,39.9893272,32.50898560000001,6.0,15
181.0,39.94589556666666,32.60990183333334,3.0,15
182.0,39.94612580909091,32.636688945454544,11.0,50
183.0,39.9703578,32.7053834,1.0,15
184.0,39.92793846666667,32.88691573333333,3.0,15
185.0,39.99442519999999,32.7233261,1.0,15
186.0,40.0244784,32.8563952,1.0,15
187.0,40.009675,32.872341066666664,3.0,31
188.0,39.83785335,32.535399,2.0,31
189.0,39.962029,32.81657,1.0,31
190.0,40.0096212,32.6230276,1.0,31
191.0,39.9443256,32.8145431,1.0,31
192.0,39.9025173,32.8057286,1.0,31
193.0,39.9819781,32.6786008,2.0,31
194.0,39.85176455,32.85829795,2.0,31
195.0,39.96646907333332,32.59461391333333,15.0,34
196.0,39.9505352,32.87942605,2.0,31
197.0,39.95430371538461,32.59340676153847,13.0,34
198.0,39.9022497,32.7049775,2.0,31
199.0,39.9976114,32.8303316,3.0,31
200.0,39.9995568,32.5570715,3.0,31
201.0,39.8512298,32.6869315,1.0,31
202.0,39.94381903333333,32.603977566666664,3.0,39
203.0,39.940015900000006,32.8880202,2.0,39
204.0,39.94992666923077,32.634178007692306,13.0,1
205.0,39.9867988,32.7847733,1.0,39
206.0,39.8055024,32.5655549,1.0,39
207.0,39.88024660000001,32.69736880000001,2.0,39
208.0,39.9079223,32.980424766666665,3.0,39
209.0,39.91775015,32.8206309,2.0,39
210.0,39.98119875,32.75571655,2.0,39
211.0,39.8945662,32.7992532,4.0,39
212.0,39.99322625,32.83940665,2.0,39
